bairro_pk;bairro_tipo_pk;bairro_desc;bairro_tipo_desc
136;B ;Pedreira Prado Lopes          ;Bairro               
136;V ;Pedreira Prado Lopes          ;Vila                 
137;B ;Santo André                   ;Bairro               
137;V ;Santo André                   ;Vila                 
138;B ;Pirajá                        ;Bairro               
139;B ;Planalto                      ;Bairro               
140;B ;Pompéia                       ;Bairro               
141;B ;Prado                         ;Bairro               
142;B ;Primeiro de Maio              ;Bairro               
143;B ;Providência                   ;Bairro               
144;B ;Renascença                    ;Bairro               
145;B ;Ribeiro de Abreu              ;Bairro               
146;B ;Sagrada Família               ;Bairro               
147;B ;Salgado Filho                 ;Bairro               
148;B ;Santa Amélia                  ;Bairro               
148;J ;Santa Amélia                  ;Jardim               
149;B ;Santa Cruz                    ;Bairro               
150;B ;Santa Efigênia                ;Bairro               
151;B ;Santa Helena                  ;Bairro               
152;B ;Santa Inês                    ;Bairro               
153;B ;Santa Lúcia                   ;Bairro               
154;B ;Conjunto Santa Maria          ;Bairro               
155;B ;Santa Maria                   ;Bairro               
156;B ;Maria Goretti                 ;Bairro               
157;B ;Santa Mônica                  ;Bairro               
158;B ;Santa Rosa                    ;Bairro               
159;B ;Santa Tereza                  ;Bairro               
160;B ;Santa Terezinha               ;Bairro               
161;B ;Santo Agostinho               ;Bairro               
162;B ;Santo Antônio                 ;Bairro               
163;B ;São Bento                     ;Bairro               
164;B ;São Bernardo                  ;Bairro               
165;B ;São Cristóvão                 ;Bairro               
166;V ;São Francisco                 ;Vila                 
167;B ;São Gabriel                   ;Bairro               
167;V ;São Gabriel                   ;Vila                 
168;B ;São Geraldo                   ;Bairro               
168;V ;São Geraldo                   ;Vila                 
169;B ;São João Batista              ;Bairro               
169;V ;São João Batista              ;Vila                 
170;B ;Vila São João Batista         ;Bairro               
170;V ;Vila São João Batista         ;Vila                 
171;B ;Jardim São José               ;Bairro               
172;B ;São Lucas                     ;Bairro               
173;B ;São Marcos                    ;Bairro               
174;B ;Piratininga                   ;Bairro               
175;B ;São Paulo                     ;Bairro               
176;B ;São Pedro                     ;Bairro               
177;B ;São Salvador                  ;Bairro               
178;B ;São Tomáz                     ;Bairro               
179;B ;Saudade                       ;Bairro               
180;B ;Serra                         ;Bairro               
181;B ;Serra Verde                   ;Bairro               
182;B ;Vila Sesc                     ;Bairro               
183;B ;Sion                          ;Bairro               
184;B ;Solimões                      ;Bairro               
185;B ;Taquaril                      ;Bairro               
186;CH;Teixeira Dias                 ;Conjunto habitacional
187;B ;Tirol                         ;Bairro               
188;B ;Tupi A                        ;Bairro               
189;B ;Garças                        ;Bairro               
190;B ;União                         ;Bairro               
191;B ;Universitário                 ;Bairro               
192;A ;Venda Nova                    ;Área                 
192;B ;Venda Nova                    ;Bairro               
193;B ;Vera Cruz                     ;Bairro               
193;NI;Vera Cruz                     ;Não informado        
193;P ;Vera Cruz                     ;Parque               
194;B ;Goiânia                       ;Bairro               
194;NI;Goiânia                       ;Não informado        
195;V ;Vila Clóris                   ;Vila                 
196;V ;Vila Oeste                    ;Vila                 
197;V ;Vila Paris                    ;Vila                 
198;V ;Maria Virgínia                ;Vila                 
199;V ;Virgínia                      ;Vila                 
200;B ;Rio Branco                    ;Bairro               
201;B ;Vista Alegre                  ;Bairro               
201;V ;Vista Alegre                  ;Vila                 
202;B ;Xangri Lá                     ;Bairro               
203;B ;Aparecida 7ª Seção            ;Bairro               
204;B ;Alto Barroca                  ;Bairro               
205;B ;Pongelupe                     ;Bairro               
205;CH;Pongelupe                     ;Conjunto habitacional
206;B ;Nova Cachoeirinha             ;Bairro               
207;B ;Vila Barragem Santa Lúcia     ;Bairro               
207;V ;Vila Barragem Santa Lúcia     ;Vila                 
208;B ;Santana do Cafezal            ;Bairro               
208;V ;Santana do Cafezal            ;Vila                 
209;B ;Trevo                         ;Bairro               
209;P ;Trevo                         ;Parque               
209;V ;Trevo                         ;Vila                 
210;B ;Copacabana                    ;Bairro               
211;B ;Santa Branca                  ;Bairro               
212;B ;Aeroporto                     ;Bairro               
213;B ;Jardim Vitória                ;Bairro               
214;B ;Vale do Jatobá                ;Bairro               
215;B ;Olaria                        ;Bairro               
216;B ;Jardim Felicidade             ;Bairro               
217;B ;Confisco                      ;Bairro               
218;V ;Vila Maria                    ;Vila                 
219;B ;Nossa Senhora da Aparecida    ;Bairro               
219;V ;Nossa Senhora da Aparecida    ;Vila                 
220;B ;Paulo 6ª Seção                ;Bairro               
221;B ;Capitão Eduardo               ;Bairro               
221;F ;Capitão Eduardo               ;Fazenda              
222;B ;Suzana                        ;Bairro               
222;V ;Suzana                        ;Vila                 
223;V ;Assunção                      ;Vila                 
224;B ;Silveira                      ;Bairro               
225;B ;Fernão Dias                   ;Bairro               
226;V ;Alice                         ;Vila                 
227;V ;Vila Formosa                  ;Vila                 
228;CA;São Vicente                   ;Chácara              
228;NI;São Vicente                   ;Não informado        
229;B ;Nova América                  ;Bairro               
230;B ;Comiteco                      ;Bairro               
230;P ;Comiteco                      ;Parque               
231;NI;Monte São José                ;Não informado        
232;B ;Ipê                           ;Bairro               
233;B ;Jardim Guanabara              ;Bairro               
234;B ;Savassi                       ;Bairro               
235;B ;Bairro Novo das Indústrias    ;Bairro               
236;B ;Conjunto Bonsucesso           ;Bairro               
237;B ;Bonsucesso                    ;Bairro               
238;B ;Araguaia                      ;Bairro               
239;P ;Parque São José               ;Parque               
240;CH;Flávio de Oliveira            ;Conjunto habitacional
241;V ;Santa Margarida               ;Vila                 
242;CH;Átila de Paiva                ;Conjunto habitacional
243;CH;João Paulo 2ª Seção           ;Conjunto habitacional
244;B ;Ademar Maldonado              ;Bairro               
245;B ;Diamante                      ;Bairro               
246;B ;Miramar                       ;Bairro               
247;B ;Brasil Industrial             ;Bairro               
248;V ;Vila Pinho                    ;Vila                 
249;V ;Castanheira                   ;Vila                 
250;CH;Túnel de Ibirité              ;Conjunto habitacional
251;B ;Boa Viagem                    ;Bairro               
252;B ;Itaipu                        ;Bairro               
253;V ;Marilândia                    ;Vila                 
254;B ;Santa Cecília                 ;Bairro               
255;B ;Conjunto Jatobá               ;Bairro               
256;B ;Cinqüentenário                ;Bairro               
257;CH;Ernesto do Nascimento         ;Conjunto habitacional
258;V ;Santa Rita                    ;Vila                 
259;B ;Mangueiras                    ;Bairro               
260;B ;Petrópolis                    ;Bairro               
261;B ;Mineirão                      ;Bairro               
262;B ;Solar do Barreiro             ;Bairro               
263;B ;Pilar                         ;Bairro               
264;CH;Novo Aarão Reis               ;Conjunto habitacional
265;B ;Distrito Industrial do Jatobá ;Bairro               
266;B ;Pousada Santo Antônio         ;Bairro               
267;A ;Granja Werneck                ;Área                 
268;V ;Vista do Sol                  ;Vila                 
269;B ;Ouro Minas                    ;Bairro               
269;NI;Ouro Minas                    ;Não informado        
270;B ;Belmonte                      ;Bairro               
271;B ;Nazaré                        ;Bairro               
272;B ;Beija Flor                    ;Bairro               
273;G ;Granja de Freitas             ;Granja               
274;B ;Alto Vera Cruz                ;Bairro               
275;B ;Tupi B                        ;Bairro               
276;V ;Vila Ecológica                ;Vila                 
277;V ;Vitória da Conquista          ;Vila                 
278;V ;Corumbiara                    ;Vila                 
279;B ;Jonas Veiga                   ;Bairro               
280;V ;Indaiá                        ;Vila                 
281;B ;Acaiaca                       ;Bairro               
282;B ;Águas Claras                  ;Bairro               
283;B ;Alpes                         ;Bairro               
284;B ;Alta Tensão                   ;Bairro               
284;NI;Alta Tensão                   ;Não informado        
285;B ;Vila Antena                   ;Bairro               
285;V ;Vila Antena                   ;Vila                 
286;NI;Ápia                          ;Não informado        
287;B ;Apolônia                      ;Bairro               
288;NI;Bacurau                       ;Não informado        
289;B ;Bairro das Indústrias 2ª Seção;Bairro               
